mage-shadows,,,,,,,,
Magic Trick,,1,-,-,Spell,Rare,-,Discover
Ray of Frost,,1,-,-,Spell,Common,-,Freeze
,,,,,,,,",?"
,,,,,,,,Twinspell
Khadgar,,2,2,2,Minion,Legendary,-,-
Magic Dart Frog,,2,1,3,Minion,Common,Beast,-
Mana Cyclone,,2,2,2,Minion,Epic,Elemental,Battlecry
Messenger Raven,,3,3,2,Minion,Common,Beast,Battlecry
,,,,,,,,",?"
,,,,,,,,Discover
Conjurer's Calling,,4,-,-,Spell,Rare,-,Twinspell
Kirin Tor Tricaster,,4,3,3,Minion,Rare,-,Spell Damage
Power of Creation,,8,-,-,Spell,Epic,-,Discover
Kalecgos,,10,4,12,Minion,Legendary,Dragon,Battlecry
,,,,,,,,",?"
,,,,,,,,Discover
