paladin@uldum,,,10,,,,,
Brazen Zealot,,1,2,1,Minion,Rare,-,-
Making Mummies,,1,-,-,Spell,Legendary,-,Quest
,,,,,,,,
,,,,,,,,
Micro Mummy,,2,1,2,Minion,Epic,Mech,Reborn
Sandwasp Queen,,2,3,1,Minion,Common,Beast,Battlecry
Sir Finley of the Sands,,2,2,3,Minion,Legendary,Murloc,Battlecry
,,,,,,,,
,,,,,,,,
Subdue,,2,-,-,Spell,Common,-,-
Salhet's Pride,,3,3,1,Minion,Rare,Beast,Deathrattle
Ancestral Guardian,,4,4,2,Minion,Common,-,Lifesteal
,,,,,,,,
,,,,,,,,
Pharaoh's Blessing,,6,-,-,Spell,Rare,-,Divine Shield
,,,,,,,,
,,,,,,,,
Tip the Scales,,8,-,-,Spell,Epic,-,-
